processed,who_id,dataset,prop_id,keep,duplicate_record_id,who_region,country_territory_area,iso,iso_3166_1_numeric,admin_level,area_covered,prov_category,prov_subcategory,prov_measure,who_code,who_category,who_subcategory,who_measure,comments,date_start,measure_stage,prev_measure_number,following_measure_number,date_end,reason_ended,targeted,enforcement,non_compliance_penalty,value_usd,percent_interest,date_entry,link,link_live,link_eng,source,source_type,alt_link,alt_link_live,alt_link_eng,source_alt,queries_comments
,JH_HIT_IEVNEH,JH_HIT,291_confinement,,,AFRO,cameroon,CMR,120,state,Littoral,household_confined,,Household confinement,4.5.2,Social and physical distancing measures,Domestic travel ,Stay-at-home order,"The Minister of Public Health reminds the population of the importance of preventive measures, including...limiting movements out of homes",2020-03-27 00:00:00,,,,,,entire population,,recommended,,,2020-04-01 18:39:25,,,,https://www.dropbox.com/s/n5nr6oed1njnb85/291_household_confined.pdf?dl=1,,,,,https://www.minsante.cm/site/?q=fr/content/coronavirus-campagne-de-d%C3%A9pistage-de-masse-%C3%A0-douala,
,JH_HIT_rOzDvJ,JH_HIT,544_emergency,,,AMRO,united states of america,USA,840,state,Mississippi,state_of_emergency,,State of emergency,8.1,Other measures,,Legal and policy regulations,Proclamation of a Civil Emergency,2020-03-16 00:00:00,,,,,,,,,,,2020-04-04 22:11:31,,,,https://www.dropbox.com/s/zzon69rgp9ynwb0/544_state_of_emergency.pdf?dl=1,,,,,https://storage.googleapis.com/proudcity/jacksonms/uploads/2020/03/CIVIL-PROC.pdf,
,JH_HIT_Fb3dSL,JH_HIT,592_limit_mvt,,,EURO,romania,ROU,642,state,Ialomi?a,limited_mvt,,Limiting movement within borders,4.5.3,Social and physical distancing measures,Domestic travel ,Restricting entry,"For the duration of the national state of emergency, Tandarei town is closed and entry and exit to and from the town is restricted only for the following purposes: Transport of goods necessary to sustain the quarantined population and the economic activities of the quarantined area.People who do not reside in the quarantine area but who carry out economic activities, or work in defense, public order, national security, health, emergency situations, local public administration, social assistance and protection, judiciary, utilities, agriculture, energy, food, water supply, communications, transport.Access between localities through other access areas and roads than the ones open to public circulation is strictly forbidden. ",2020-04-04 00:00:00,,,,,,entire population,,,,,2020-04-05 17:04:28,,,,https://www.dropbox.com/s/vsyr3wd904i06pf/592_limited_mvt.pdf?dl=1,,,,,https://www.mai.gov.ro/wp-content/uploads/2019/01/ordonanta-militara-7-din-4-aprilie-2020-engl.pdf,
,JH_HIT_uGkKqo,JH_HIT,649_screening_air,,,WPRO,singapore,SGP,702,state,East,symp_screening,,Symptom screening when entering by air,5.5,International travel measures,,Entry screening and isolation or quarantine,"From the evening of 3 January 2020, temperature screening will be implemented at Changi airport for inbound travellers arriving on flights from Wuhan, and suspected cases will be referred to hospitals for further assessment.",2020-01-03 00:00:00,,,,,,geographic subpopulation,,required,,,2020-04-06 15:22:00,,,,https://www.dropbox.com/s/xk20gnaaj4jewl3/649_symp_screening.pdf?dl=1,,,,,https://www.moh.gov.sg/news-highlights/details/precautionary-measures-in-response-to-severe-pneumonia-cases-in-wuhan-china,
,JH_HIT_Td5aHr,JH_HIT,723_nursery_school,,,EURO,italy,ITA,380,state,Lombardia,school_closed,,Nursery school closures,4.1.2,Social and physical distancing measures,School measures ,Closing," suspension of educational services for children and schools of all levels, as well as the frequency ofschool and higher education activities, including university, except for distance learning activities;e) suspension of educational trips in Italy or abroad organized by schools of the national education ",2020-02-23 00:00:00,,,,,,Nursery school closures,,required,,,2020-04-07 13:43:53,,,,https://www.dropbox.com/s/gye7bq9p41519rl/723_school_closed.pdf?dl=1,,,,,file:///Users/nicolefrumento/Desktop/HIT%20pdf/Summary%20of%20measures%20taken%20against%20the%20spread%20of%20C-19.pdf,
,JH_HIT_DmxRY8,JH_HIT,723_primary_school,,,EURO,italy,ITA,380,state,Lombardia,school_closed,,Primary school closures,4.1.2,Social and physical distancing measures,School measures ,Closing,,2020-02-23 00:00:00,,,,,,Primary school closures,,required,,,2020-04-07 13:43:53,,,,https://www.dropbox.com/s/gye7bq9p41519rl/723_school_closed.pdf?dl=1,,,,,file:///Users/nicolefrumento/Desktop/HIT%20pdf/Summary%20of%20measures%20taken%20against%20the%20spread%20of%20C-19.pdf,
,JH_HIT_9wdn4K,JH_HIT,723_sec_school,,,EURO,italy,ITA,380,state,Lombardia,school_closed,,Secondary school closures,4.1.2,Social and physical distancing measures,School measures ,Closing,,2020-02-23 00:00:00,,,,,,Secondary school closures,,required,,,2020-04-07 13:43:53,,,,https://www.dropbox.com/s/gye7bq9p41519rl/723_school_closed.pdf?dl=1,,,,,file:///Users/nicolefrumento/Desktop/HIT%20pdf/Summary%20of%20measures%20taken%20against%20the%20spread%20of%20C-19.pdf,
,JH_HIT_NHDFju,JH_HIT,723_post_school,,,EURO,italy,ITA,380,state,Lombardia,school_closed,,Post-secondary school closures,4.1.2,Social and physical distancing measures,School measures ,Closing,,2020-02-23 00:00:00,,,,,,Post-secondary school closures,,required,,,2020-04-07 13:43:53,,,,https://www.dropbox.com/s/gye7bq9p41519rl/723_school_closed.pdf?dl=1,,,,,file:///Users/nicolefrumento/Desktop/HIT%20pdf/Summary%20of%20measures%20taken%20against%20the%20spread%20of%20C-19.pdf,
,JH_HIT_ysl81V,JH_HIT,723_limit_mvt,,,EURO,italy,ITA,380,state,Lombardia,limited_mvt,,Limiting movement within borders,4.5.3,Social and physical distancing measures,Domestic travel ,Restricting entry,prohibition of leaving/departing from the Municipalities for all persons present in the Municipalities; prohibition of access to Municipalities;,2020-02-23 00:00:00,,,,,,entire population,,,,,2020-04-07 13:41:45,,,,https://www.dropbox.com/s/5ubcs90rwclssab/723_limited_mvt.pdf?dl=1,,,,,file:///Users/nicolefrumento/Desktop/HIT%20pdf/Summary%20of%20measures%20taken%20against%20the%20spread%20of%20C-19.pdf,
,JH_HIT_2KKmz6,JH_HIT,723_public_transport,,,EURO,italy,ITA,380,state,Lombardia,public_transport_closed,,Public transportation closures,4.5.1,Social and physical distancing measures,Domestic travel ,Suspending or restricting movement,"suspension of freight and passenger transport services, land, rail, inland waters and local public,including nonscheduled ones, with the exclusion of the transport of essential and perishable goods andwithout prejudice to any exceptions provided for by the territorially competent Prefects;",2020-02-23 00:00:00,,,,,,entire population,,required,,,2020-04-07 13:57:25,,,,https://www.dropbox.com/s/ee6xzbfocme7zyg/723_public_transport_closed.pdf?dl=1,,,,,file:///Users/nicolefrumento/Desktop/HIT%20pdf/Summary%20of%20measures%20taken%20against%20the%20spread%20of%20C-19.pdf,
,JH_HIT_ZxPuan,JH_HIT,725_nursery_school,,,EURO,italy,ITA,380,state,Veneto,school_closed,,Nursery school closures,4.1.2,Social and physical distancing measures,School measures ,Closing,,2020-02-23 00:00:00,,,,,,Nursery school closures,,required,,,2020-04-07 14:03:26,,,,https://www.dropbox.com/s/rdpvb1gd1ne9t41/725_school_closed.pdf?dl=1,,,,,file:///Users/nicolefrumento/Desktop/HIT%20pdf/Summary%20of%20measures%20taken%20against%20the%20spread%20of%20C-19.pdf,
,JH_HIT_QpIQ71,JH_HIT,725_primary_school,,,EURO,italy,ITA,380,state,Veneto,school_closed,,Primary school closures,4.1.2,Social and physical distancing measures,School measures ,Closing,,2020-02-23 00:00:00,,,,,,Primary school closures,,required,,,2020-04-07 14:03:26,,,,https://www.dropbox.com/s/rdpvb1gd1ne9t41/725_school_closed.pdf?dl=1,,,,,file:///Users/nicolefrumento/Desktop/HIT%20pdf/Summary%20of%20measures%20taken%20against%20the%20spread%20of%20C-19.pdf,
,JH_HIT_htCJqR,JH_HIT,725_sec_school,,,EURO,italy,ITA,380,state,Veneto,school_closed,,Secondary school closures,4.1.2,Social and physical distancing measures,School measures ,Closing,,2020-02-23 00:00:00,,,,,,Secondary school closures,,required,,,2020-04-07 14:03:26,,,,https://www.dropbox.com/s/rdpvb1gd1ne9t41/725_school_closed.pdf?dl=1,,,,,file:///Users/nicolefrumento/Desktop/HIT%20pdf/Summary%20of%20measures%20taken%20against%20the%20spread%20of%20C-19.pdf,
,JH_HIT_VStOe1,JH_HIT,725_post_school,,,EURO,italy,ITA,380,state,Veneto,school_closed,,Post-secondary school closures,4.1.2,Social and physical distancing measures,School measures ,Closing,,2020-02-23 00:00:00,,,,,,Post-secondary school closures,,required,,,2020-04-07 14:03:26,,,,https://www.dropbox.com/s/rdpvb1gd1ne9t41/725_school_closed.pdf?dl=1,,,,,file:///Users/nicolefrumento/Desktop/HIT%20pdf/Summary%20of%20measures%20taken%20against%20the%20spread%20of%20C-19.pdf,
,JH_HIT_Hb4G9V,JH_HIT,725_limit_mvt,,,EURO,italy,ITA,380,state,Veneto,limited_mvt,,Limiting movement within borders,4.5.3,Social and physical distancing measures,Domestic travel ,Restricting entry,prohibition of leaving/departing from the Municipalities for all persons present in the Municipalities;prohibition of access to Municipalities;,2020-02-23 00:00:00,,,,,,entire population,,,,,2020-04-07 14:02:12,,,,https://www.dropbox.com/s/y7uu0p5fztammyx/725_limited_mvt.pdf?dl=1,,,,,file:///Users/nicolefrumento/Desktop/HIT%20pdf/Summary%20of%20measures%20taken%20against%20the%20spread%20of%20C-19.pdf,
,JH_HIT_5T05JD,JH_HIT,725_public_transport,,,EURO,italy,ITA,380,state,Veneto,public_transport_closed,,Public transportation closures,4.5.1,Social and physical distancing measures,Domestic travel ,Suspending or restricting movement,,2020-02-23 00:00:00,,,,,,entire population,,required,,,2020-04-07 14:18:23,,,,https://www.dropbox.com/s/ly1to8itldw56nz/725_public_transport_closed.pdf?dl=1,,,,,file:///Users/nicolefrumento/Desktop/HIT%20pdf/Summary%20of%20measures%20taken%20against%20the%20spread%20of%20C-19.pdf,
,JH_HIT_swEH2L,JH_HIT,896_limit_mvt,,,AMRO,united states of america,USA,840,state,Georgia,limited_mvt,,Limiting movement within borders,4.5.3,Social and physical distancing measures,Domestic travel ,Restricting entry,stay at home order for ATL,2020-03-23 00:00:00,,,,,,entire population,,,,,2020-04-09 10:52:18,,,,https://www.dropbox.com/s/zvrdlns6yc2cwl9/896_limited_mvt.pdf?dl=1,,,,,,
,JH_HIT_SJW82I,JH_HIT,900_emergency,,,AMRO,united states of america,USA,840,state,Georgia,state_of_emergency,,State of emergency,8.1,Other measures,,Legal and policy regulations,,2020-03-16 00:00:00,,,,,,,,,,,2020-04-09 11:02:23,,,,https://www.dropbox.com/s/u5u3rhkgn0gau38/900_state_of_emergency.pdf?dl=1,,,,,https://www.atlantaga.gov/Home/Components/News/News/13292/672,
,JH_HIT_-tDGKy,JH_HIT,1076_public_transport,,,AMRO,colombia,COL,170,state,Cundinamarca,public_transport_closed,,Public transportation closures,4.5.1,Social and physical distancing measures,Domestic travel ,Suspending or restricting movement,"Gender restrictions to take public transportation in Bogota. Uneven days, men; even days, women from 13 April to 26 April 23:59h",2020-04-08 00:00:00,,,,,,other subpopulation,,required,,,2020-04-12 19:39:20,,,,https://www.dropbox.com/s/h0rdd39neit7l4o/1076_public_transport_closed.pdf?dl=1,,,,,https://bogota.gov.co/mi-ciudad/movilidad/pico-y-cedula-en-bogota-abril-2020,
,JH_HIT_7dTBaG,JH_HIT,1118_limit_mvt,,,AFRO,benin,BEN,204,state,Littoral,limited_mvt,,Limiting movement within borders,4.5.3,Social and physical distancing measures,Domestic travel ,Restricting entry,"On March 27, guidance put out establishing sanitary cordon around municipalities of Cotonou, AbomeyCalavi, Allada, Ouidah, Tori, Ze, SemePodji, PortoNovo, AkproMisserete, and Adjarra to isolate them from the rest of the country March 30 until April 12.Ban on entering or leaving the sanitary cordon areas unless have permission from authorities. ",2020-03-30 00:00:00,,,,,,entire population,,,,,2020-04-13 12:01:08,,,,https://www.dropbox.com/s/6ku6z3d9ladasbc/1118_limited_mvt.zip?dl=1,,,,,"https://www.gouv.bj/actualite/571/coronavirus---communique-ministre-interieur-sujet-cordon-sanitaire/) 
https://www.gouv.bj/actualite/572/",
,JH_HIT_-mGXax,JH_HIT,1118_public_transport,,,AFRO,benin,BEN,204,state,Littoral,public_transport_closed,,Public transportation closures,4.5.1,Social and physical distancing measures,Domestic travel ,Suspending or restricting movement,No more than 1 passenger on motorcycle taxisNo more than 3 passengers (in addition to driver) in city taxisNo more than 3 passengers (in addition to driver) in boatsBuses and minibuses are prohibited from circulating within the sanitary cordon,2020-03-30 00:00:00,,,,,,geographic subpopulation,,required,,,2020-04-13 12:08:14,,,,https://www.dropbox.com/s/x8t0h88x5o8bj04/1118_public_transport_closed.zip?dl=1,,,,,https://www.gouv.bj/actualite/571/coronavirus---communique-ministre-interieur-sujet-cordon-sanitaire/,
,JH_HIT_-b2xjE,JH_HIT,1118_mask,,,AFRO,benin,BEN,204,state,Littoral,mask,,Universal facemask policies,1.4,Individual measures,,Wearing a mask,"Masks are compulsory in the sanitary cordon everywhere in public and private administration, in meetings, meetings in markets, shops, boutiques, etc. regardless of the number of people present. In other regions outside the sanitary cordon it is strongly recommended to use masks. ",2020-04-08 00:00:00,,,,,,geographic subpopulation,,required,,,2020-04-13 12:13:09,,,,https://www.dropbox.com/s/66gmiygbqzcmni0/1118_mask.zip?dl=1,,,,,https://www.gouv.bj/actualite/585/coronavirus---port-masque-obligatoire-benin/,
,JH_HIT_EBYdyk,JH_HIT,1121_border_in_land,,,AFRO,senegal,SEN,686,state,Ziguinchor,closed_border,,Border closures for entering by land,5.9,International travel measures,,Closing international land borders,Closure of Mpack crossing at the Senegal and GuineaBissau border. Data source from IOM tracking. ,2020-03-19 00:00:00,,,,,,entire population,,,,,2020-04-13 12:39:59,,,,https://www.dropbox.com/s/i90kjyopu3gaxom/1121_closed_border.xlsx?dl=1,,,,,https://data.humdata.org/dataset/country-point-of-entry-mobility-restriction-covid-19-iom-dtm,
,JH_HIT_xOM06K,JH_HIT,1121_border_out_land,,,AFRO,senegal,SEN,686,state,Ziguinchor,closed_border,,Border closures for leaving by land,5.9,International travel measures,,Closing international land borders,Closure of Mpack crossing at the Senegal and GuineaBissau border. Data source from IOM tracking. ,2020-03-19 00:00:00,,,,,,entire population,,,,,2020-04-13 12:39:59,,,,https://www.dropbox.com/s/i90kjyopu3gaxom/1121_closed_border.xlsx?dl=1,,,,,https://data.humdata.org/dataset/country-point-of-entry-mobility-restriction-covid-19-iom-dtm,
,JH_HIT_zq6l7n,JH_HIT,1132_confinement,,,AFRO,senegal,SEN,686,state,Diourbel,household_confined,,Household confinement,4.5.2,Social and physical distancing measures,Domestic travel ,Stay-at-home order,"In announcement of restrictions, the prefect encouraged the populations to stay at home as much as possible.",2020-04-12 00:00:00,,,,,,entire population,,recommended,,,2020-04-15 12:19:37,,,,https://www.dropbox.com/s/zziy4ugwmedqb5z/1132_household_confined.pdf?dl=1,,,,,https://www.dakaractu.com/MBACKE-ET-COVID-19-Le-prefet-sort-un-arrete-ferme-les-marches-a-15h-et-interdit-les-rassemblements-dans-les-lieux_a186834.html,
,JH_HIT_sTAFDc,JH_HIT,1132_public_transport,,,AFRO,senegal,SEN,686,state,Diourbel,public_transport_closed,,Public transportation closures,4.5.1,Social and physical distancing measures,Domestic travel ,Suspending or restricting movement,The prefect of Mbacke put in several transport restrictions to limit the number of passengers in vehicles. These included:  5 passenger vehicles can only have 3 passengers and driver 2wheeled vehicles can only have drivers horse carriages can only have 5 people in the back  2 people in a truck ,2020-04-12 00:00:00,,,,,,entire population,,required,,,2020-04-15 12:15:48,,,,https://www.dropbox.com/s/dln2qbga0nirskg/1132_public_transport_closed.pdf?dl=1,,,,,https://www.dakaractu.com/MBACKE-ET-COVID-19-Le-prefet-sort-un-arrete-ferme-les-marches-a-15h-et-interdit-les-rassemblements-dans-les-lieux_a186834.html,
,JH_HIT_5B3p-b,JH_HIT,1132_mask,,,AFRO,senegal,SEN,686,state,Diourbel,mask,,Universal facemask policies,1.4,Individual measures,,Wearing a mask,"On April 12, the prefect of Mbacke (a city just near Touba), announced several restrictions, which included the wearing protective masks in places open to the public and in public transport vehicles. ",2020-04-12 00:00:00,,,,,,entire population,,recommended,,,2020-04-15 12:12:32,,,,https://www.dropbox.com/s/cjsisdq1xhown28/1132_mask.pdf?dl=1,,,,,https://www.dakaractu.com/MBACKE-ET-COVID-19-Le-prefet-sort-un-arrete-ferme-les-marches-a-15h-et-interdit-les-rassemblements-dans-les-lieux_a186834.html,
,JH_HIT_lX-uWI,JH_HIT,1259_emergency,,,AMRO,belize,BLZ,84,state,Belize,state_of_emergency,,State of emergency,8.1,Other measures,,Legal and policy regulations,"The Government of Belize has declared a state of emergency for Ambergris Caye with immediate effect for 72 hours. This will allow the Ministry of Health time to conduct the proper mapping and tracing of contacts following the announcement of the first confirmed case of COVID19 in San Pedro Town, Ambergris Caye.Residents of Ambergris Caye are being placed under mandatory quarantine. People will not be allowed to leave or return to the island over the next 72 hours. Leaving home is highly discouraged unless completely unavoidable. Unauthorized vessels will be banned from leaving or arriving to the island.",2020-03-23 00:00:00,,,,,,,,,,,2020-04-15 15:11:32,,,,https://www.dropbox.com/s/gch7lez8qzoe9x3/1259_state_of_emergency.pdf?dl=1,,,,,"https://www.pressoffice.gov.bz/state-of-emergency-declared-for-ambergris-caye/
",
,JH_HIT_0gu8aK,JH_HIT,1274_public_transport,,,AMRO,colombia,COL,170,state,Cundinamarca,public_transport_closed,,Public transportation closures,4.5.1,Social and physical distancing measures,Domestic travel ,Suspending or restricting movement,People in Soacha only can take Transmilenio (bus system) at certain times in the morning from 4 am to 8 am  according to the last digit of their national identification card from 25 March to 13 April 2020.  ,2020-03-25 00:00:00,,,,,,other subpopulation,,required,,,2020-04-15 08:44:02,,,,https://www.dropbox.com/s/juqc2a4d2gofn5b/1274_public_transport_closed.pdf?dl=1,,,,,http://www.alcaldiasoacha.gov.co/component/phocadownload/category/23-decreto-municipal.html,
,JH_HIT_GhmyJU,JH_HIT,1421_screening_air,,,WPRO,papua new guinea,PNG,598,state,Morobe,symp_screening,,Symptom screening when entering by air,5.5,International travel measures,,Entry screening and isolation or quarantine,"Screening of travelers at Point of entries is in place: Wampar HC for airport and Mutzing HC for road. Procured temperature sensor. For clinical management, Buimo HC and Mildfordhaven Road HC have been tasked to screen all patients with flu like symptoms (180 were screened in one week",2020-02-18 00:00:00,,,,,,entire population,,required,,,2020-04-17 01:22:26,,,,https://www.dropbox.com/s/p11ci0pnwdmjnmy/1421_symp_screening.pdf?dl=1,,,,,https://www.health.gov.pg/subindex.php?news=1,
,JH_HIT_mWFt9G,JH_HIT,1421_screening_land,,,WPRO,papua new guinea,PNG,598,state,Morobe,symp_screening,,Symptom screening when entering by land,5.5,International travel measures,,Entry screening and isolation or quarantine,"Screening of travelers at Point of entries is in place: Wampar HC for airport and Mutzing HC for road. Procured temperature sensor. For clinical management, Buimo HC and Mildfordhaven Road HC have been tasked to screen all patients with flu like symptoms (180 were screened in one week",2020-02-18 00:00:00,,,,,,entire population,,required,,,2020-04-17 01:22:26,,,,https://www.dropbox.com/s/p11ci0pnwdmjnmy/1421_symp_screening.pdf?dl=1,,,,,https://www.health.gov.pg/subindex.php?news=1,
,JH_HIT_MX7ch9,JH_HIT,1424_screening_air,,,WPRO,papua new guinea,PNG,598,state,Morobe,symp_screening,,Symptom screening when entering by air,5.5,International travel measures,,Entry screening and isolation or quarantine,,2020-03-06 00:00:00,,,,,,entire population,,required,,,2020-04-17 01:53:50,,,,https://www.dropbox.com/s/tt35gqhrioenwoo/1424_symp_screening.pdf?dl=1,,,,,https://www.health.gov.pg/subindex.php?news=1,
,JH_HIT_uBv9Dk,JH_HIT,1424_screening_land,,,WPRO,papua new guinea,PNG,598,state,Morobe,symp_screening,,Symptom screening when entering by land,5.5,International travel measures,,Entry screening and isolation or quarantine,,2020-03-06 00:00:00,,,,,,entire population,,required,,,2020-04-17 01:53:50,,,,https://www.dropbox.com/s/tt35gqhrioenwoo/1424_symp_screening.pdf?dl=1,,,,,https://www.health.gov.pg/subindex.php?news=1,
,JH_HIT_7YqkIy,JH_HIT,1427_screening_land,,,WPRO,papua new guinea,PNG,598,state,Sandaun,symp_screening,,Symptom screening when entering by land,5.5,International travel measures,,Entry screening and isolation or quarantine,,2020-03-06 00:00:00,,,,,,entire population,,required,,,2020-04-17 01:57:40,,,,https://www.dropbox.com/s/ofyugnj95iztd0y/1427_symp_screening.pdf?dl=1,,,,,https://www.health.gov.pg/subindex.php?news=1,
,JH_HIT_gGKsLK,JH_HIT,1431_screening_air,,,WPRO,papua new guinea,PNG,598,state,East Sepik,symp_screening,,Symptom screening when entering by air,5.5,International travel measures,,Entry screening and isolation or quarantine,,2020-03-13 00:00:00,,,,,,entire population,,required,,,2020-04-17 02:15:00,,,,https://www.dropbox.com/s/m22vdh9mcq9gppm/1431_symp_screening.pdf?dl=1,,,,,https://www.health.gov.pg/subindex.php?news=1,
,JH_HIT_r-8w-p,JH_HIT,1431_screening_land,,,WPRO,papua new guinea,PNG,598,state,East Sepik,symp_screening,,Symptom screening when entering by land,5.5,International travel measures,,Entry screening and isolation or quarantine,,2020-03-13 00:00:00,,,,,,entire population,,required,,,2020-04-17 02:15:00,,,,https://www.dropbox.com/s/m22vdh9mcq9gppm/1431_symp_screening.pdf?dl=1,,,,,https://www.health.gov.pg/subindex.php?news=1,
,JH_HIT_FMmJUk,JH_HIT,1431_screening_sea,,,WPRO,papua new guinea,PNG,598,state,East Sepik,symp_screening,,Symptom screening when entering by sea,5.5,International travel measures,,Entry screening and isolation or quarantine,,2020-03-13 00:00:00,,,,,,entire population,,required,,,2020-04-17 02:15:00,,,,https://www.dropbox.com/s/m22vdh9mcq9gppm/1431_symp_screening.pdf?dl=1,,,,,https://www.health.gov.pg/subindex.php?news=1,
