dataset,prov_category,prov_subcategory,prov_measure,who_code,who_category,who_subcategory,who_measure,non_compliance,who_targeted
CDC-ITF,,Passenger screening,flight suspensions,5.7,International travel measures,,Suspending or restricting international flights,,
CDC-ITF,,Passenger screening,all flights suspended,5.7,International travel measures,,Suspending or restricting international flights,,
CDC-ITF,,Movement restrictions,Flight suspensions,5.7,International travel measures,,Suspending or restricting international flights,,
CDC-ITF,,Passenger screening,Flight suspensions,5.7,International travel measures,,Suspending or restricting international flights,,
CDC-ITF,,Passenger screening,entry only,5.5,International travel measures,,Entry screening and isolation or quarantine,,
CDC-ITF,,Passenger screening,,9,Coding required,,,,
CDC-ITF,,Travel restrictions,Travel bans/border closures,5.9,International travel measures,,Closing international land borders,,
CDC-ITF,,Travel restrictions,travel bans/border closures,5.9,International travel measures,,Closing international land borders,,
CDC-ITF,,Travel restrictions,,5,International travel measures,,,,
CDC-ITF,,Travel restrictions,"Border closure, flight suspensions",5.7,International travel measures,,Suspending or restricting international flights,,
CDC-ITF,,Travel restrictions,Flight suspensions,5.7,International travel measures,,Suspending or restricting international flights,,
CDC-ITF,,Travel Restrictions,Travel bans/border closures,5.9,International travel measures,,Closing international land borders,,
CDC-ITF,,Travel restrictions,Travel advisories,5.1,International travel measures,,Providing travel advice or warning,,
CDC-ITF,,Travel restrictions,Visa restrictions,5.2,International travel measures,,Restricting visas,,
CDC-ITF,,Travel restrictions,Mandatory isolation/quarantine,5.5,International travel measures,,Entry screening and isolation or quarantine,,
CDC-ITF,,Travel restrictions,Airport closure,5.7,International travel measures,,Suspending or restricting international flights,,
CDC-ITF,,Travel restrictions,Travel recommendation,5.1,International travel measures,,Providing travel advice or warning,,
CDC-ITF,,Travel restrictions,Sea travel suspended,5.8,International travel measures,,Suspending or restricting international ferries or ships,,
CDC-ITF,,Travel restrictions,Movement restricted,5.8,International travel measures,,Suspending or restricting international ferries or ships,,
CDC-ITF,,Travel restrictions,Border closure,5.7,International travel measures,,Suspending or restricting international flights,,
CDC-ITF,,Travel restrictions,travel bans/border closure,5.9,International travel measures,,Closing international land borders,,
CDC-ITF,,Travel restrictions,flight suspensions,5.7,International travel measures,,Suspending or restricting international flights,,
CDC-ITF,,Travel restrictions,Border closures/travel bans,5.9,International travel measures,,Closing international land borders,,
CDC-ITF,,Travel restrictions,flight suspension,5.7,International travel measures,,Suspending or restricting international flights,,
CDC-ITF,,Travel restrictions,Domestic flights allowed,5.7,International travel measures,,Suspending or restricting international flights,,
CDC-ITF,,Travel restrictions,Transportation restrictions/closures,5.7,International travel measures,,Suspending or restricting international flights,,
CDC-ITF,,Travel restrictions,border closure,5.9,International travel measures,,Closing international land borders,,
CDC-ITF,,Travel restrictions,visa restrictions,5.2,International travel measures,,Restricting visas,,
CDC-ITF,,Travel restrictions,suspended flights,5.7,International travel measures,,Suspending or restricting international flights,,
CDC-ITF,,Travel restrictions,International flight suspensions,5.7,International travel measures,,Suspending or restricting international flights,,
CDC-ITF,,Travel restrictions,Travel bans/border closures/visa restrictions,5.7,International travel measures,,Suspending or restricting international flights,,
CDC-ITF,,Travel restrictions,Border closures,5.9,International travel measures,,Closing international land borders,,
CDC-ITF,,Travel restrictions,border closures,5.9,International travel measures,,Closing international land borders,,
CDC-ITF,,Travel restrictions,travel advisories,5.1,International travel measures,,Providing travel advice or warning,,
CDC-ITF,,Travel restrictions,Domestic flight suspensions,4.5.4,Social and physical distancing measures,Domestic travel ,Closing internal land borders,,
CDC-ITF,,Travel restrictions,International flight suspensions,5.7,International travel measures,,Suspending or restricting international flights,,
CDC-ITF,,Traveler isolation/quarantine,Transportation restrictions/closures,5.7,International travel measures,,Suspending or restricting international flights,,
CDC-ITF,,Traveler isolation/quarantine,,5.5,International travel measures,,Entry screening and isolation or quarantine,,
CDC-ITF,,Traveler isolation/quarantine,Mandatory isolation/quarantine,5.5,International travel measures,,Entry screening and isolation or quarantine,,
CDC-ITF,,Traveler isolation/quarantine,Recommended isolation/quarantine,5.5,International travel measures,,Entry screening and isolation or quarantine,,
CDC-ITF,,Traveler isolation/quarantine,Mandatory quarantine,5.5,International travel measures,,Entry screening and isolation or quarantine,,
CDC-ITF,,Traveler isolation/quarantine,mandatory isolation/quarantine,5.5,International travel measures,,Entry screening and isolation or quarantine,,
CDC-ITF,,Traveler isolation/quarantine,quarantine,5.5,International travel measures,,Entry screening and isolation or quarantine,,
CDC-ITF,,Traveler isolation/quarantine,Entry screening,5.5,International travel measures,,Entry screening and isolation or quarantine,,
CDC-ITF,,Traveler isolation/quarantine,home isolation,5.5,International travel measures,,Entry screening and isolation or quarantine,,
CDC-ITF,,Traveler isolation/quarantine,Travel bans/border closures,5.7,International travel measures,,Suspending or restricting international flights,,
CDC-ITF,,Traveler isolation/quarantine,quarantine/self-isolation,5.5,International travel measures,,Entry screening and isolation or quarantine,,
CDC-ITF,,Traveler isolation/quarantine,mandatory quarentine,5.5,International travel measures,,Entry screening and isolation or quarantine,,
CDC-ITF,,Traveler isolation/quarantine,Traveler isolation/quarantine,5.5,International travel measures,,Entry screening and isolation or quarantine,,
CDC-ITF,,Traveler isolation/quarantine,mandatory quarantine,5.5,International travel measures,,Entry screening and isolation or quarantine,,
CDC-ITF,,Traveler isolation/quarantine,required self-quarantine/isolation,5.5,International travel measures,,Entry screening and isolation or quarantine,,
CDC-ITF,,Traveler isolation/quarantine,Flight suspensions,5.7,International travel measures,,Suspending or restricting international flights,,
CDC-ITF,,Traveler isolation/quarantine,Required traveler testing,5.5,International travel measures,,Entry screening and isolation or quarantine,,
CDC-ITF,,Traveler isolation/quarantine,,9,Coding required,,,,
CDC-ITF,,PPE Requirements,Face mask wearing requirements,1.4,Individual measures,,Wearing a mask,,
