dataset,prov_category,prov_subcategory,prov_measure,who_code,who_category,who_subcategory,who_measure,non_compliance,who_targeted
Vienna,"Case identification, contact tracing and related measures",Border health check,All airports and all harbors,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Border health check,Health certificate requested,5.3,International travel measures,,Restricting entry,,
Vienna,"Case identification, contact tracing and related measures",Border health check,Health declaration,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Border health check,Health screening,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Border health check,Measure temperature,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Border health check,"Quarantine facility for suspected cases, otherwise home quarantine",5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Border health check,Test at the border,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Border health check,Test at the border if symptomatic,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Border health check,,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Enhance detection system,"All hospitals, clinics, and pharmacies have access to patients- travel histories",3.1,Surveillance and response measures,Detecting and isolating cases,,,
Vienna,"Case identification, contact tracing and related measures",Enhance detection system,"All hospitals, clinics, and pharmacies have access to patientsï¿½ travel histories",3.1.2,Surveillance and response measures,Detecting and isolating cases,Active case detection,,
Vienna,"Case identification, contact tracing and related measures",Enhance detection system,Broaden definition / special definition,8.5,Other measures,,,,
Vienna,"Case identification, contact tracing and related measures",Enhance detection system,Extension of notification to suspected cases,3.1,Surveillance and response measures,Detecting and isolating cases,,,
Vienna,"Case identification, contact tracing and related measures",Enhance detection system,Extension of notification to suspected cases,3.1,Surveillance and response measures,Detecting and isolating cases,,,
Vienna,"Case identification, contact tracing and related measures",Enhance detection system,Extension of notification to suspected cases,3.1,Surveillance and response measures,Detecting and isolating cases,,,
Vienna,"Case identification, contact tracing and related measures",Enhance detection system,Extension of notification to suspected cases,3.1,Surveillance and response measures,Detecting and isolating cases,,,
Vienna,"Case identification, contact tracing and related measures",Enhance detection system,Including results for National Health Insurance Taiwan,3.1.2,Surveillance and response measures,Detecting and isolating cases,Active case detection,,
Vienna,"Case identification, contact tracing and related measures",Enhance detection system,Measure temperature before accessing public servive,4.5.1,Social and physical distancing measures,Domestic travel ,Suspending or restricting movement,,
Vienna,"Case identification, contact tracing and related measures",Enhance detection system,Research and test of contacts,3.2.1,Surveillance and response measures,Tracing and quarantining contacts,Contact tracing,,
Vienna,"Case identification, contact tracing and related measures",Enhance detection system,Research and test of suspected cases,3.1.2,Surveillance and response measures,Detecting and isolating cases,Active case detection,,
Vienna,"Case identification, contact tracing and related measures",Enhance detection system,Search for and/or monitor contacts,3.2.1,Surveillance and response measures,Tracing and quarantining contacts,Contact tracing,,
Vienna,"Case identification, contact tracing and related measures",Enhance detection system,Self-screening,3.1.1,Surveillance and response measures,Detecting and isolating cases,Passive case detection,,
Vienna,"Case identification, contact tracing and related measures",Enhance detection system,Self-screening and reporting of cases via an online tool,3.1.1,Surveillance and response measures,Detecting and isolating cases,Passive case detection,,
Vienna,"Case identification, contact tracing and related measures",Enhance detection system,Self-screening of the temperature,3.1.1,Surveillance and response measures,Detecting and isolating cases,Passive case detection,,
Vienna,"Case identification, contact tracing and related measures",Enhance detection system,Test cases and suspected cases,3.1.2,Surveillance and response measures,Detecting and isolating cases,Active case detection,,
Vienna,"Case identification, contact tracing and related measures",Enhance detection system,Test those who travelled to high-risk areas,3.1.2,Surveillance and response measures,Detecting and isolating cases,Active case detection,,
Vienna,"Case identification, contact tracing and related measures",Enhance detection system,Test vulnerable population,3.1.2,Surveillance and response measures,Detecting and isolating cases,Active case detection,,
Vienna,"Case identification, contact tracing and related measures",Enhance detection system,Testing every persons in high-risk facilities,3.1.2,Surveillance and response measures,Detecting and isolating cases,Active case detection,,
Vienna,"Case identification, contact tracing and related measures",Enhance detection system,,3,Surveillance and response measures,,,,
Vienna,"Case identification, contact tracing and related measures",Health check at train stations,Measure temperature,4.5.1,Social and physical distancing measures,Domestic travel ,Suspending or restricting movement,,
Vienna,"Case identification, contact tracing and related measures",Increase data availability,,8.1,Other measures,,Legal and policy regulations,,
Vienna,"Case identification, contact tracing and related measures",Increase isolation and quarantine facilities,Hotels transform in quarantine facilities,8.2,Other measures,,Scaling up,,
Vienna,"Case identification, contact tracing and related measures",Isolation of cases,Epidemic plan,3.1,Surveillance and response measures,Detecting and isolating cases,,,
Vienna,"Case identification, contact tracing and related measures",Isolation of cases,Pandemic plan,3.1,Surveillance and response measures,Detecting and isolating cases,,,
Vienna,"Case identification, contact tracing and related measures",Isolation of cases,Quarantine and case reporting for people arriving from Wuhan with severe cases of pneumonia,3.1,Surveillance and response measures,Detecting and isolating cases,,,
Vienna,"Case identification, contact tracing and related measures",Isolation of cases,Scale up the system,8.2,Other measures,,Scaling up,,
Vienna,"Case identification, contact tracing and related measures",Isolation of cases,Scale up the sytem,8.2,Other measures,,Scaling up,,
Vienna,"Case identification, contact tracing and related measures",Isolation of cases,System is scaled-up,8.2,Other measures,,Scaling up,,
Vienna,"Case identification, contact tracing and related measures",Isolation of cases,Wuhan import,3.1,Surveillance and response measures,Detecting and isolating cases,,,
Vienna,"Case identification, contact tracing and related measures",Isolation of cases,,3.1,Surveillance and response measures,Detecting and isolating cases,,,
Vienna,"Case identification, contact tracing and related measures",Quarantine,Additional quarantine facilities,8.2,Other measures,,Scaling up,,
Vienna,"Case identification, contact tracing and related measures",Quarantine,All incomings,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Quarantine,All workers who have been in quarantine should not come back to work,8.1,Other measures,,Legal and policy regulations,,
Vienna,"Case identification, contact tracing and related measures",Quarantine,Asymptomatic carriers,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,
Vienna,"Case identification, contact tracing and related measures",Quarantine,Contact persons,3.2.1,Surveillance and response measures,Tracing and quarantining contacts,Contact tracing,,
Vienna,"Case identification, contact tracing and related measures",Quarantine,Home quarantine for all incoming people,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Quarantine,Mandatory for contacts,3.1,Surveillance and response measures,Detecting and isolating cases,,,
Vienna,"Case identification, contact tracing and related measures",Quarantine,Nationals coming from high-risk areas,3.1,Surveillance and response measures,Detecting and isolating cases,,,
Vienna,"Case identification, contact tracing and related measures",Quarantine,Nationals coming from high-risk areas,3.1,Surveillance and response measures,Detecting and isolating cases,,,
Vienna,"Case identification, contact tracing and related measures",Quarantine,Nationals who travelled to at risk areas,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Quarantine,People who travelled out of Nordic countries,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Quarantine,People who travelled to China or high-risk areas,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Quarantine,Quarantine law approved,8.1,Other measures,,Legal and policy regulations,,
Vienna,"Case identification, contact tracing and related measures",Quarantine,Quarantine People who travelled to China or high-risk areasall incoming foreigners from one country,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Quarantine,Scale up the system,8.2,Other measures,,Scaling up,,
Vienna,"Case identification, contact tracing and related measures",Quarantine,Suspected cases,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,
Vienna,"Case identification, contact tracing and related measures",Quarantine,,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,
Vienna,"Case identification, contact tracing and related measures",Restriction in testing,Only in patients requiring hospitalization,3.1.2,Surveillance and response measures,Detecting and isolating cases,Active case detection,,
Vienna,"Case identification, contact tracing and related measures",Restriction in testing,Only in patients with symptoms or and epidemiological link,3.1,Surveillance and response measures,Detecting and isolating cases,,,
Vienna,"Case identification, contact tracing and related measures",Restriction in testing,Patients with need of hospital care and healthcare staff,3.1,Surveillance and response measures,Detecting and isolating cases,,,
Vienna,"Case identification, contact tracing and related measures",Restriction in testing,Patients with need of hospital care and healthcare staff,3.1,Surveillance and response measures,Detecting and isolating cases,,,
Vienna,"Case identification, contact tracing and related measures",Restriction in testing,Patients with need of hospital care and healthcare staff with symptoms,3.1,Surveillance and response measures,Detecting and isolating cases,,,
Vienna,"Case identification, contact tracing and related measures",Scale up the system,Police and army control and sanctions,8.1,Other measures,,Legal and policy regulations,,
Vienna,"Case identification, contact tracing and related measures",Scale up the system,Testing all passengers,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Specific health channel for travellers,All foreigners,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Specific health channel for travellers,Chinese with passport issued in Hubei,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Specific health channel for travellers,For international cruise/merchandise boat personal,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Specific health channel for travellers,From China,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Specific health channel for travellers,From high-risk areas,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Specific health channel for travellers,from high-risk areas,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Specific health channel for travellers,From high-risk areas other than China,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Surveillance,Implement community-based surveillance,3.1.2,Surveillance and response measures,Detecting and isolating cases,Active case detection,,
Vienna,"Case identification, contact tracing and related measures",Surveillance,Implement existing respiratory disease surveillance systems and hospital-based surveillance,3.1.2,Surveillance and response measures,Detecting and isolating cases,Active case detection,,
Vienna,"Case identification, contact tracing and related measures",Surveillance,Implement sentinel study,3.1.2,Surveillance and response measures,Detecting and isolating cases,Active case detection,,
Vienna,"Case identification, contact tracing and related measures",Surveillance,Use existing respiratory disease surveillance systems and hospital-based surveillance,3.1.2,Surveillance and response measures,Detecting and isolating cases,Active case detection,,
Vienna,"Case identification, contact tracing and related measures",Surveillance,,3,Surveillance and response measures,,,,
Vienna,"Case identification, contact tracing and related measures",Tracing and monitoring,All incomings from high-risk areas,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Tracing and monitoring,"App ""TraceTogether""",3.1.2,Surveillance and response measures,Detecting and isolating cases,Active case detection,,
Vienna,"Case identification, contact tracing and related measures",Tracing and monitoring,cases,3.1,Surveillance and response measures,Detecting and isolating cases,,,
Vienna,"Case identification, contact tracing and related measures",Tracing and monitoring,Cases,3.1.2,Surveillance and response measures,Detecting and isolating cases,Active case detection,,
Vienna,"Case identification, contact tracing and related measures",Tracing and monitoring,Contact tracking,3.2,Surveillance and response measures,Tracing and quarantining contacts,,,
Vienna,"Case identification, contact tracing and related measures",Tracing and monitoring,Contacts monitored via phone to check any symptom,3.2.1,Surveillance and response measures,Tracing and quarantining contacts,Contact tracing,,
Vienna,"Case identification, contact tracing and related measures",Tracing and monitoring,Electronic monitoring of quarantined individuals via government-issued cell phones,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,
Vienna,"Case identification, contact tracing and related measures",Tracing and monitoring,Immigration health declaration card (including online reporting system),3.1.2,Surveillance and response measures,Detecting and isolating cases,Active case detection,,
Vienna,"Case identification, contact tracing and related measures",Tracing and monitoring,Monitoring quarantine individuals via cell phone,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,
Vienna,"Case identification, contact tracing and related measures",Tracing and monitoring,Nationals who travelled to at risk areas,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Tracing and monitoring,Smartphone app to report infection / contact,3.1.1,Surveillance and response measures,Detecting and isolating cases,Passive case detection,,
Vienna,"Case identification, contact tracing and related measures",Tracing and monitoring,Suspected cases,3.1.1,Surveillance and response measures,Detecting and isolating cases,Passive case detection,,
Vienna,"Case identification, contact tracing and related measures",Tracing and monitoring,Tracking via mobile phone,3.1.1,Surveillance and response measures,Detecting and isolating cases,Passive case detection,,
Vienna,"Case identification, contact tracing and related measures",Treatment of patients should not be compromised,Police and army control and sanctions,8.2,Other measures,,Scaling up,,
Vienna,Environmental measures,Environmental cleaning and disinfection,Airplanes,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,"Airports, ports and borders",2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,"All public and private institutions, public and private transports",2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,All public places,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,Cheongdo Daenam hospital,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,Educational institutes and transporations,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,Frequently touched common surfaces in multi-apartment buildings,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,Guidelines for Infection Prevention and Control in Healthcare Facilities,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,Hospitals,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,Markets,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,"Metro, public places, malls",2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,Mosks,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,Nursing homes,2,Environmental measures,,,,
Vienna,Environmental measures,Environmental cleaning and disinfection,One school,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,"Places of high traffic and capacity (e.g. centers for civil services, markets, train stations, airports, shopping centers, restaurants etc.)",2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,Private and public transport,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,Public places with high human traffic,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,Public spaces,2,Environmental measures,,,,
Vienna,Environmental measures,Environmental cleaning and disinfection,Public transport,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,Public Transport,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,Schools,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,Spa baths,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,State Office for Invention and Trademarks,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,Supermarkets and stores,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,Taxi,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,Train connect mainland China to Hongkong,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,Working places,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Environmental measures,Environmental cleaning and disinfection,,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Healthcare and public health capacity,Activate emergency response mechanisms,Brazilian Ministry of Health Emergency Operations Center (EOC),8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Activate emergency response mechanisms,City of Vienna Emergency Plan,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Activate emergency response mechanisms,Corona task force,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Activate emergency response mechanisms,Coronary Virus Uncertainty Level,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Activate emergency response mechanisms,Implementing decree on emergency state,8.1,Other measures,,Legal and policy regulations,,
Vienna,Healthcare and public health capacity,Activate emergency response mechanisms,National Protection and Rescue Plan activated,8.1,Other measures,,Legal and policy regulations,,
Vienna,Healthcare and public health capacity,Activate emergency response mechanisms,Nationwide guidelines,8.1,Other measures,,Legal and policy regulations,,
Vienna,Healthcare and public health capacity,Activate emergency response mechanisms,Revised Guidelines/Strategy for COVID-19 testing by Indian Council of Medical Research (ICMR),3.1,Surveillance and response measures,Detecting and isolating cases,,,
Vienna,Healthcare and public health capacity,Activate emergency response mechanisms,Set up crisis units,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Activate emergency response mechanisms,Strategy for COVID-19 testing in India,3.1,Surveillance and response measures,Detecting and isolating cases,,,
Vienna,Healthcare and public health capacity,Activate emergency response mechanisms,,8.1,Other measures,,Legal and policy regulations,,
Vienna,Healthcare and public health capacity,Activate notification of cases,Covid-19 as a notifiable disease,8.1,Other measures,,Legal and policy regulations,,
Vienna,Healthcare and public health capacity,Case management,Implement triage procedures,3.1.1,Surveillance and response measures,Detecting and isolating cases,Passive case detection,,
Vienna,Healthcare and public health capacity,Case management,Prepare to treat patients,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Case management,Prioritize care,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,contingency plan,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare alert phase,8.1,Other measures,,Legal and policy regulations,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare civil protection distress phase,8.1,Other measures,,Legal and policy regulations,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare emergency state,8.1,Other measures,,Legal and policy regulations,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare Emergency state,8.1,Other measures,,Legal and policy regulations,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare health emergency,8.1,Other measures,,Legal and policy regulations,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare national disaster,8.1,Other measures,,Legal and policy regulations,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare National Security Zone,8.1,Other measures,,Legal and policy regulations,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare Orange Alert Statement,8.1,Other measures,,Legal and policy regulations,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare Red Alert Statement,8.1,Other measures,,Legal and policy regulations,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare sanitary emergency,8.1,Other measures,,Legal and policy regulations,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare state of emergency,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare state of emergency,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,DMAT (Disaster Dispatching Medical Team),8.1,Other measures,,Legal and policy regulations,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,Emergency Operations Center (COE) of the Municipal Health Secretariat (Sesau),8.1,Other measures,,Legal and policy regulations,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,Emergency phase,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,National Crisis Preparedness and Response Centre,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,National task force,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,Operational Task Force begins operation,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,Public Health Emergency of International Concern,8.1,Other measures,,Legal and policy regulations,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,Set up crisis units,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,State of national crisis,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,Train medical staff specially for covid-19,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance emergency response mechanisms,,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance hand hygiene,Approval of new hand disinfectant,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance hand hygiene,Hand sanitizers in public spaces,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance hand hygiene,Presence of soap lotion in public toilets,1.1,Individual measures,,Performing hand hygiene,,
Vienna,Healthcare and public health capacity,Enhance healthcare capacity,Healthcare equipment,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance healthcare capacity - Funds,For medical services,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance healthcare capacity - Funds,For PPE and medical equipment,8.3,Other measures,,Financial packages,,
Vienna,Healthcare and public health capacity,Enhance healthcare capacity - Funds,Funds to increase PPE,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance healthcare capacity - Funds,Incentive for medical personnel,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance healthcare capacity - Funds,Monetary bonuses for healthcare professionals,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance laboratory testing,Decrease time between test and result,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance laboratory testing,Decrease time bewteen test and result,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance laboratory testing,Increase testing capacity (number tests),8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Enhance laboratory testing,Test cases and suspected cases,3.1.2,Surveillance and response measures,Detecting and isolating cases,Active case detection,,
Vienna,Healthcare and public health capacity,Enhance primary healthcare capacity,Increase medical consultation capacity,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Environmental cleaning and disinfection,Desinfection of the environment,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Healthcare and public health capacity,Environmental cleaning and disinfection,,2.1,Environmental measures,,Cleaning and disinfecting surfaces and objects,,
Vienna,Healthcare and public health capacity,Extend notification of cases,Extension of notification to suspected cases,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,
Vienna,Healthcare and public health capacity,Increase availability of PPE,Ban export of PPE for healthcae professionals,8.1,Other measures,,Legal and policy regulations,,
Vienna,Healthcare and public health capacity,Increase availability of PPE,Covid-19 at a notifiable disease,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Increase availability of PPE,Face masks,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Increase availability of PPE,Face masks and hand sanitizer,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Increase availability of PPE,Face masks and other PPE,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Increase availability of PPE,"Face masks, gloves, protective clothing, goggles, shoe cover",8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Increase availability of PPE,"Face masks, protective clothing",8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Increase availability of PPE,"Face masks,hand sanitizer and other PPE",8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Increase availability of PPE,For healthcare professionals,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Increase availability of PPE,"Gloves, face masks",8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Increase availability of PPE,Increase domestic production,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Increase availability of PPE,Increased number of PPE (masks),8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Increase availability of PPE,"Masks, gloves",8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Increase availability of PPE,"Masks, protective suits",8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Increase availability of PPE,"Masks, protective suits, gloves",8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Increase availability of PPE,population can order online face masks through a rationing system,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Increase availability of PPE,Population can order online face masks through a rationing system,8.2,Other measures,,Scaling up,,
Vienna,Healthcare and public health capacity,Increase availability of PPE,PPE,8.2,Other measures,,Scaling up,,
